CITY_NAME:lat=LATITUDE,lon=LONGITUDE
Ambon:lat=-3.386553288,lon=129.3129272
Inch`on:lat=37.58945084,lon=126.7674408
Dalian:lat=39.03171539,lon=121.5981979
Portland:lat=45.44213104,lon=-122.6416779
Manaus:lat=-3.122304916,lon=-60.01461792
Santarem:lat=-2.460000038,lon=-54.61000061
Invercargill:lat=-46.40999985,lon=168.4499969
Mtwara:lat=-10.26000023,lon=40.18000031
Toamasina:lat=-18.22999954,lon=49.40999985
Bloemfontein:lat=-29.14999962,lon=26.26000023
Bulawayo:lat=-20.20000076,lon=28.70999908
Livingstone:lat=-17.82999992,lon=25.87999916
Al Madinah:lat=24.43000031,lon=39.70000076
Wadi Halfa:lat=21.76000023,lon=31.28000069
Aswan:lat=24.07999992,lon=32.95000076
Murzuq:lat=25.90999985,lon=13.90999985
Tindouf:lat=27.70000076,lon=-8.159999847
Agadez:lat=16.95999908,lon=7.980000019
El Obeid:lat=13.18000031,lon=30.15999985
Mbandaka:lat=0.050000001,lon=18.45999908
Whitehorse:lat=60.65000153,lon=-135.0099945
Punte Arenas:lat=-53.15000153,lon=-70.80000305
Puerto Montt:lat=-41.47999954,lon=-73
Rio Gallegos:lat=-51.70999908,lon=-69.41000366
Comodoro Rivadavia:lat=-45.83000183,lon=-67.5
Suez:lat=29.95999908,lon=32.56000137
Alexandria:lat=31.07460403,lon=29.97780991
Mocambique:lat=-15.05000019,lon=40.70000076
Bombay:lat=19.04534721,lon=73.17234802
Algiers:lat=36.59649277,lon=2.993693113
Kharkov:lat=49.98967361,lon=36.20831299
Dnepropetrovsk:lat=48.42288971,lon=35.13789368
Tallinn:lat=59.27757263,lon=24.75205612
Uliastay:lat=47.81000137,lon=97
Santo Domingo:lat=18.49972916,lon=-69.91049194
Bandar Seri Begawan:lat=4.933000088,lon=114.9670029
Banjul:lat=13.44527245,lon=-16.49461555
Port of Spain:lat=10.63973427,lon=-61.49006271
Acapulco:lat=16.97438622,lon=-99.93149567
Anadyr:lat=64.40016174,lon=177.130188
Angmagssalik:lat=65.66999817,lon=-37.31186676
Antofagasta:lat=-23.8325367,lon=-70.22544861
Aomori:lat=40.75,lon=140.6699982
Banghazi:lat=32.04305267,lon=20.30867577
Birdum:lat=-15.75,lon=133.2200012
Boa Vista:lat=2.75,lon=-60.5
Chiclayo:lat=-6.619999886,lon=-79.83000183
Chimbote:lat=-8.930100441,lon=-78.45314789
Churchill:lat=58.71076584,lon=-94.18000031
Cochin:lat=9.987988472,lon=76.52178192
Concepcion:lat=-36.88329697,lon=-72.85163879
Coquimbo:lat=-31,lon=-71.01999664
Darwin:lat=-12.70149994,lon=130.9945526
Djibouti:lat=11.5,lon=43.09999847
Fremantle:lat=-32.04416656,lon=115.9345703
George Town:lat=5.349999905,lon=100.547142
Godhavn:lat=69.38314056,lon=-53.63000107
Godthab:lat=64.27118683,lon=-51.58000183
Halifax:lat=44.63000107,lon=-63.58000183
Hammerfest:lat=70.3913269,lon=23.90634155
Igarka:lat=67.34999847,lon=86.55000305
In Salah:lat=27.20000076,lon=2.529999971
Inuvik:lat=68.26999664,lon=-133.6699982
Kigoma:lat=-4.949999809,lon=30
Kotlas:lat=61.15000153,lon=47
Laayoune:lat=27,lon=-13.18000031
Manado:lat=1.420086145,lon=124.8842392
Mangalore:lat=12.94999981,lon=75.16088104
Marrakech:lat=31.14999962,lon=-8
Mbabne:lat=-26.30338097,lon=31.19129753
Nagasaki:lat=32.88274765,lon=129.8574677
Natal:lat=-5.78000021,lon=-35.25
Nelson:lat=-41.29999924,lon=173.2700043
Nome:lat=64.58628082,lon=-165.2700043
Noril`sk:lat=69.33000183,lon=88.09999847
Nouadnibou:lat=20.89999962,lon=-16.82564735
Novokuznetsk:lat=53.70000076,lon=87.16999817
Olympia:lat=46.91999817,lon=-122.8799973
Padang:lat=-0.917578816,lon=100.4750595
Palembang:lat=-3,lon=104.8300018
Patrai:lat=38.14123917,lon=21.88316917
Petropavloski-Kamchatskiy:lat=53.20000076,lon=158.7200012
Podgorica:lat=42.5,lon=19.39999962
Pointe Noire:lat=-4.638708115,lon=12.05809307
Port Gentil:lat=-0.819999993,lon=9.153344154
Prince Rupert:lat=54.42028046,lon=-130.0480804
Saint John:lat=45.33813477,lon=-65.64994812
Saint Louis:lat=15.95121002,lon=-16.29783821
Salekhard:lat=66.56999969,lon=66.58000183
Samsun:lat=41.31999969,lon=36.36999893
Sao Luis:lat=-2.5,lon=-44.43005753
Sarajevo:lat=43.86999893,lon=18.43000031
Scoresbyund:lat=70.52857208,lon=-22.99632263
Sept-Iles:lat=50.282547,lon=-66.40254211
Seward:lat=60.11999893,lon=-149.4499969
Skopje:lat=42,lon=21.53000069
Tamanrasset:lat=22.82999992,lon=5.550000191
Thule:lat=77.66999817,lon=-69
Tiksi:lat=71.69999695,lon=128.75
Toliara:lat=-23.29015541,lon=44.01909256
Trujillo:lat=-7.929999828,lon=-79
Vishakhapatnam:lat=17.75,lon=83.33000183
Vorkuta:lat=67.80000305,lon=64.33000183
Yazd:lat=31.96999931,lon=54.45000076
Zahedan:lat=29.60000038,lon=60.83000183
Aden:lat=12.86115932,lon=45.18000031
Adis Abeba:lat=9.029999733,lon=38.70000076
Al Kuwayt:lat=29.19499016,lon=48.0027771
Antananarivo:lat=-18.87000084,lon=47.5
Ar Riyad:lat=24.64999962,lon=46.77000046
Asmara:lat=15.32999992,lon=38.97000122
Asuncion:lat=-25.21999931,lon=-57.66999817
Athinai:lat=38.1216011,lon=23.65486336
Baotou:lat=40.65000153,lon=109.9800034
Barcelona:lat=41.52999878,lon=2.170000076
Barranquilla:lat=11.01429462,lon=-74.68000031
Beira:lat=-19.76928329,lon=35.02317047
Beirut:lat=33.77999878,lon=35.65794373
Belmopan:lat=17.12000084,lon=-88.80000305
Bergen:lat=60.34999847,lon=5.49067831
Bissau:lat=11.91098976,lon=-15.64999962
Cape Town:lat=-33.80400848,lon=18.69043159
Cardiff:lat=51.5,lon=-3.150000095
Casablanca:lat=33.54441071,lon=-7.534091949
